POINT_ID;POINT_TYPE_ID;NAME_TX;NAT_ABBR_TX;POSTAL_CODE_ID;N_COORD_NU;E_COORD_NU;HEIGHT_ASL_NU
1;1;Arosa;ARO;-1;1184830.200;2771030.900;1878000
2;1;Bad Ragaz;RAG;-1;1209350.657;2756911.098;496500
3;1;Salen-Reutenen;HAI;-1;1279046.641;2719100.407;718700
4;1;Hallau;HLL;-1;1283471.800;2677456.500;419000
6;1;Delémont;DEM;-1;1244543.472;2593269.988;439000
7;1;Ebnat-Kappel;EBK;-1;1237176.315;2726347.799;623200
8;1;Elm;ELM;-1;1198424.300;2732265.600;957600
9;1;Einsiedeln;EIN;-1;1221068.299;2699983.704;910700
10;1;Andermatt;ANT;-1;1165043.768;2687444.588;1434520
11;1;Meiringen;MER;-1;1175929.729;2655844.420;588600
13;1;Château-d'Oex;CHD;-1;1147654.830;2577040.137;1028000
14;1;Fribourg / Grangeneuve;GRA;-1;1180076.402;2575183.764;650600
15;1;Chaumont;CHM;-1;1211006.916;2565060.253;1136000
17;1;Langnau i.E.;LAG;-1;1198793.103;2628004.097;743800
18;1;Koppigen;KOP;-1;1218664.689;2612663.291;485200
19;1;Grächen;GRC;-1;1116062.001;2630738.429;1605000
20;1;Blatten, Lötschental;BLA;-1;1141083.960;2629563.846;1538000
22;1;Grono;GRO;-1;1124089.398;2733017.557;323520
23;1;Passo del Bernina;BEH;-1;1143019.758;2798423.283;2260000
24;1;Segl-Maria;SIA;-1;1144976.097;2778576.017;1804000
25;1;Sta. Maria, Val Müstair;SMM;-1;1165579.688;2828862.348;1386200
26;1;Davos;DAV;-1;1187458.747;2783519.136;1594160
27;1;Chur;CHU;-1;1193152.634;2759466.632;556000
28;1;Poschiavo / Robbia;ROB;-1;1136248.611;2801993.958;1078000
29;1;Samedan;SAM;-1;1155684.798;2787250.867;1708510
30;1;Scuol;SCU;-1;1186393.350;2817138.898;1303930
31;1;La Dôle;DOL;-1;1142372.520;2497059.380;1669750
32;1;Payerne;PAY;-1;1184611.520;2562130.869;490000
33;1;Jungfraujoch;JUN;-1;1155287.300;2641938.540;3571330
34;1;Wynau;WYN;-1;1233849.233;2626405.475;421990
35;1;Säntis;SAE;-1;1234920.310;2744188.010;2501470
36;1;Vaduz;VAD;-1;1221699.036;2757723.510;457250
